model,augmentation,phase,epoch,loss,accuracy,date
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,137,0.44407245963811875,0.8862667083740234,2021-05-31 10:39:34.373246
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,138,0.09702626804355532,0.958919095993042,2021-05-31 10:40:37.649313
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,138,0.46267700418829916,0.8861824035644531,2021-05-31 10:40:37.649339
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,139,0.09748017117381096,0.9588054180145263,2021-05-31 10:41:40.943185
ORCA__Size-512x512_Epoch-38_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,139,0.4411241725087166,0.8835647583007813,2021-05-31 10:41:40.943214
ORCA__Size-512x512_Epoch-140_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,140,0.09662016481161118,0.9590476512908935,2021-05-31 10:42:46.015886
ORCA__Size-512x512_Epoch-140_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,140,0.4123463802039623,0.8933349609375,2021-05-31 10:42:46.015912
ORCA__Size-512x512_Epoch-140_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,141,0.09578723032027484,0.9594314098358154,2021-05-31 10:43:49.266131
ORCA__Size-512x512_Epoch-140_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,141,0.43643889054656027,0.8853515625,2021-05-31 10:43:49.266167
ORCA__Size-512x512_Epoch-140_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,142,0.09623929744120688,0.9591086864471435,2021-05-31 10:44:52.543971
ORCA__Size-512x512_Epoch-140_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,142,0.429307721555233,0.8812372207641601,2021-05-31 10:44:52.544001
ORCA__Size-512x512_Epoch-140_Images-80_Batch-1__no_augmentation.pth,no_augmentation,train,143,0.09556755004450679,0.9595191955566407,2021-05-31 10:45:55.901076
ORCA__Size-512x512_Epoch-140_Images-80_Batch-1__no_augmentation.pth,no_augmentation,valid,143,0.4287210464477539,0.8878171920776368,2021-05-31 10:45:55.901107
