model,augmentation,phase,epoch,loss,accuracy,date,transformations
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,19,0.38049783353649436,0.8069660208565845,2021-10-30 00:15:43.621224,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-19_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,19,0.4198029647477799,0.851740247938368,2021-10-30 00:15:43.621293,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-20_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,20,0.37527978312046756,0.8074199451264877,2021-10-30 00:34:27.845255,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-20_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,20,0.39252234239959055,0.851740247938368,2021-10-30 00:34:27.845296,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-21_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,21,0.36825164567368723,0.807861615862165,2021-10-30 00:53:11.895447,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-21_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,21,0.40952766933995816,0.851740247938368,2021-10-30 00:53:11.895471,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-22_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,22,0.3738027697384712,0.8040897565569192,2021-10-30 01:11:56.643411,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-22_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,22,0.4027228588031398,0.851740247938368,2021-10-30 01:11:56.643453,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-23_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,23,0.3566866859527571,0.8228146914527541,2021-10-30 01:30:40.419831,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-23_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,23,0.3824768653863834,0.851740247938368,2021-10-30 01:30:40.419871,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,24,0.3519268135384967,0.8347717750186008,2021-10-30 01:49:23.984523,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,24,0.3977489291276369,0.8517400173611109,2021-10-30 01:49:23.984549,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,25,0.35072408067949473,0.8381776006789436,2021-10-30 02:08:08.457289,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,25,0.3724621787770755,0.8517415093315971,2021-10-30 02:08:08.457314,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-26_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,26,0.3426127397144834,0.8383154878162198,2021-10-30 02:26:52.093724,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-26_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,26,0.382665970031586,0.8517317572699652,2021-10-30 02:26:52.093750,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-27_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,27,0.33281311910416533,0.84522794015067,2021-10-30 02:45:36.261272,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-27_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,27,0.9567081879501024,0.851740247938368,2021-10-30 02:45:36.261324,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-28_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,28,0.42286251953614523,0.8227730480375741,2021-10-30 03:04:19.418036,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-28_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,28,0.5198158842226904,0.851740247938368,2021-10-30 03:04:19.418091,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-29_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,29,0.4366225239765342,0.812658889043899,2021-10-30 03:23:02.872079,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-29_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,29,0.47260201358650294,0.851740247938368,2021-10-30 03:23:02.872139,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-30_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,30,0.4209339698133547,0.807875549316406,2021-10-30 03:41:47.234781,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-30_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,30,0.5151316922442574,0.8517402072482637,2021-10-30 03:41:47.234826,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-31_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,31,0.38740865318658985,0.8171398664202005,2021-10-30 04:00:31.923055,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-31_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,31,0.43065832627212836,0.8515125325520833,2021-10-30 04:00:31.923110,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-32_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,32,0.3658112347259053,0.8370239286876853,2021-10-30 04:19:15.834541,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-32_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,32,0.42136127697303893,0.8522193060980902,2021-10-30 04:19:15.834566,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-33_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,33,0.34679950197515563,0.8466174519856766,2021-10-30 04:38:00.392014,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-33_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,33,0.3785271778754476,0.8581986219618053,2021-10-30 04:38:00.392054,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-34_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,34,0.341176579936984,0.8509014543805801,2021-10-30 04:56:44.126521,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-34_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,34,0.38178702253434393,0.8584860568576389,2021-10-30 04:56:44.126572,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-35_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,35,0.32582639181166,0.8582771984281982,2021-10-30 05:15:27.755010,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-35_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,35,0.3442611529129661,0.8645595431857639,2021-10-30 05:15:27.755047,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-36_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,36,0.32896380378709483,0.8546912812732513,2021-10-30 05:34:12.887284,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-36_Images-840_Batch-1__random_4_operations.pth,random_4_operations,test,36,0.3217688541031546,0.863860392252604,2021-10-30 05:34:12.887325,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
OCDC__Size-640x640_Epoch-37_Images-840_Batch-1__random_4_operations.pth,random_4_operations,train,37,0.3265680836092326,0.8605657929920024,2021-10-30 05:52:56.025705,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose']
