model,augmentation,phase,epoch,loss,accuracy,date,transformations
OCDC__Size-640x640_Epoch-22_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,22,0.40139569240725703,0.851740247938368,2021-11-27 22:33:11.875305,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-23_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,23,0.43067856335103333,0.808795102074033,2021-11-27 22:51:51.212354,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-23_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,23,0.40603395816870036,0.851740247938368,2021-11-27 22:51:51.212408,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,24,0.43219943575317127,0.8100706816173737,2021-11-27 23:10:31.204035,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,24,0.380867648911145,0.851740247938368,2021-11-27 23:10:31.204064,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,25,0.42431624384397376,0.8082612508138017,2021-11-27 23:29:09.448771,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,25,0.3740103734398468,0.851740247938368,2021-11-27 23:29:09.448797,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-26_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,26,0.41705421001339954,0.8092695777529757,2021-11-27 23:47:49.094930,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-26_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,26,0.38733647141295174,0.851740247938368,2021-11-27 23:47:49.094957,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-27_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,27,0.4123993153096221,0.8083437587193081,2021-11-28 00:06:27.849962,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-27_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,27,0.3696306455983884,0.851740247938368,2021-11-28 00:06:27.850007,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-28_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,28,0.4086532291568195,0.8075374872116815,2021-11-28 00:25:06.378172,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-28_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,28,0.36455052629785817,0.851740247938368,2021-11-28 00:25:06.378199,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-29_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,29,0.4124235618355063,0.8089951346261158,2021-11-28 00:43:44.372428,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-29_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,29,0.546115155507707,0.851740247938368,2021-11-28 00:43:44.372455,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-30_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,30,0.4407069908565886,0.8085163893926708,2021-11-28 01:02:24.324766,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-30_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,30,0.42475660830322237,0.851740247938368,2021-11-28 01:02:24.324793,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-31_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,31,0.42983639386837325,0.8087472650437125,2021-11-28 01:21:05.731136,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-31_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,31,0.441382118459377,0.851740247938368,2021-11-28 01:21:05.731192,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-32_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,32,0.41947294076283775,0.8094332101004463,2021-11-28 01:39:44.612348,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-32_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,32,0.39853248802117175,0.851740247938368,2021-11-28 01:39:44.612377,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-33_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,33,0.4181120594375811,0.8078940255301337,2021-11-28 01:58:23.468636,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-33_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,33,0.39724455547208587,0.851739773220486,2021-11-28 01:58:23.468681,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-34_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,34,0.4138028234376439,0.811684015183222,2021-11-28 02:17:02.555740,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-34_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,34,0.38207940546692243,0.8517584228515624,2021-11-28 02:17:02.555767,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-35_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,35,0.4039354343432933,0.8181296212332588,2021-11-28 02:35:41.671447,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-35_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,35,0.38303588319880266,0.8517372775607637,2021-11-28 02:35:41.671497,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-36_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,36,0.40184992928545743,0.8232470906575524,2021-11-28 02:54:21.378588,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-36_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,36,0.37152102682739496,0.8518814561631943,2021-11-28 02:54:21.378616,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-37_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,37,0.39174634998087726,0.8271691167922248,2021-11-28 03:13:00.868848,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-37_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,37,0.36894737917722925,0.8517405056423609,2021-11-28 03:13:00.868891,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-38_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,38,0.38247452978754326,0.8272101527622767,2021-11-28 03:31:40.941356,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-38_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,38,0.3615934929396543,0.852709730360243,2021-11-28 03:31:40.941382,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-39_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,39,0.3786538868909702,0.8320558936709458,2021-11-28 03:50:22.179939,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-39_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,39,0.38015534503178466,0.8517393256293401,2021-11-28 03:50:22.179968,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-40_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,40,0.37320574291516095,0.8319946085611974,2021-11-28 04:09:02.389583,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-40_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,40,0.388667353700536,0.8518281792534721,2021-11-28 04:09:02.389610,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-41_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,41,0.3801577912510506,0.8330214756556918,2021-11-28 04:27:41.237173,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-41_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,41,0.36691584614002043,0.8517551947699651,2021-11-28 04:27:41.237242,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-42_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,42,0.3574837844087077,0.84384580485026,2021-11-28 04:46:22.028579,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-42_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,42,0.3502177055330119,0.851847425672743,2021-11-28 04:46:22.028629,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-43_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,43,0.3582580326402205,0.8406898484002968,2021-11-28 05:05:02.989038,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-43_Images-840_Batch-1__random_6_operations.pth,random_6_operations,test,43,0.34083885279639314,0.8524331868489581,2021-11-28 05:05:02.989065,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
OCDC__Size-640x640_Epoch-44_Images-840_Batch-1__random_6_operations.pth,random_6_operations,train,44,0.3555559231866417,0.8384225376674104,2021-11-28 05:23:43.095068,[None, 'horizontal_flip', 'vertical_flip', 'rotation', 'transpose', 'grid_distortion', 'optical_distortion']
