model,augmentation,phase,epoch,loss,accuracy,date
OCDC__Size-640x640_Epoch-24_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,24,0.4266468594575094,0.851740247938368,2021-08-01 18:36:03.280629
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,25,0.3919445054206465,0.8085863385881696,2021-08-01 18:53:01.376692
OCDC__Size-640x640_Epoch-25_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,25,0.40799207152384853,0.851740247938368,2021-08-01 18:53:01.376745
OCDC__Size-640x640_Epoch-26_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,26,0.3894400150204698,0.8079518607003343,2021-08-01 19:09:59.576029
OCDC__Size-640x640_Epoch-26_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,26,0.3969088593342652,0.851740247938368,2021-08-01 19:09:59.576056
OCDC__Size-640x640_Epoch-27_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,27,0.38110930771411705,0.8081120954241071,2021-08-01 19:26:58.093553
OCDC__Size-640x640_Epoch-27_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,27,0.3998977711372491,0.851740247938368,2021-08-01 19:26:58.093595
OCDC__Size-640x640_Epoch-28_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,28,0.36627553652062833,0.8084367995489211,2021-08-01 19:43:56.703606
OCDC__Size-640x640_Epoch-28_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,28,0.46654686376245486,0.851740247938368,2021-08-01 19:43:56.703632
OCDC__Size-640x640_Epoch-29_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,29,0.36784182542580224,0.8084418596540183,2021-08-01 20:00:55.422449
OCDC__Size-640x640_Epoch-29_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,29,0.37593475815633104,0.851740247938368,2021-08-01 20:00:55.422504
OCDC__Size-640x640_Epoch-30_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,30,0.35729493501906595,0.8181867762974334,2021-08-01 20:17:53.562693
OCDC__Size-640x640_Epoch-30_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,30,0.4023986912228995,0.851740247938368,2021-08-01 20:17:53.562731
OCDC__Size-640x640_Epoch-31_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,31,0.351271957231109,0.8314478440057665,2021-08-01 20:34:52.161184
OCDC__Size-640x640_Epoch-31_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,31,0.3687758235674765,0.8517406819661457,2021-08-01 20:34:52.161225
OCDC__Size-640x640_Epoch-32_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,32,0.34119061590726707,0.8405041067940855,2021-08-01 20:51:51.036148
OCDC__Size-640x640_Epoch-32_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,32,0.4027721603194045,0.8517742784288195,2021-08-01 20:51:51.036204
OCDC__Size-640x640_Epoch-33_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,33,0.33584728368247546,0.8442594575427836,2021-08-01 21:08:49.746509
OCDC__Size-640x640_Epoch-33_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,33,0.36656786059546803,0.8518181559244792,2021-08-01 21:08:49.746536
OCDC__Size-640x640_Epoch-34_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,34,0.33137401814594686,0.8500169358026415,2021-08-01 21:25:48.583810
OCDC__Size-640x640_Epoch-34_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,34,0.3709084765312986,0.8520397135416664,2021-08-01 21:25:48.583836
OCDC__Size-640x640_Epoch-35_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,35,0.3285387716976748,0.8559442458379847,2021-08-01 21:42:47.491896
OCDC__Size-640x640_Epoch-35_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,35,0.3572485854073117,0.8518519151475693,2021-08-01 21:42:47.491937
OCDC__Size-640x640_Epoch-36_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,36,0.3216915540358362,0.853774725051154,2021-08-01 21:59:46.653936
OCDC__Size-640x640_Epoch-36_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,36,0.34577890237172443,0.8527506646050346,2021-08-01 21:59:46.653963
OCDC__Size-640x640_Epoch-37_Images-840_Batch-1__no_augmentation.pth,no_augmentation,train,37,0.3140673194512991,0.8594952392578132,2021-08-01 22:16:45.322338
OCDC__Size-640x640_Epoch-37_Images-840_Batch-1__no_augmentation.pth,no_augmentation,test,37,0.4026163804732884,0.8524595675998268,2021-08-01 22:16:45.322386
