model,augmentation,phase,epoch,loss,accuracy,date
ORCA__Size-640x640_Epoch-25_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,25,0.30058836871306926,0.8722854256515906,2021-04-28 12:52:11.355754
ORCA__Size-640x640_Epoch-25_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,25,0.48937259357213403,0.7952048418598794,2021-04-28 12:52:11.355781
ORCA__Size-640x640_Epoch-26_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,26,0.3023988342119557,0.8717788090318012,2021-04-28 14:01:48.445199
ORCA__Size-640x640_Epoch-26_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,26,0.5342311884778392,0.7739028868680928,2021-04-28 14:01:48.445229
ORCA__Size-640x640_Epoch-27_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,27,0.29334160119838765,0.876904924018532,2021-05-03 23:34:26.061677
ORCA__Size-640x640_Epoch-27_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,27,0.5213379901627985,0.7813766964419065,2021-05-03 23:34:26.061707
ORCA__Size-640x640_Epoch-28_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,28,0.2896565348543528,0.8789486935264192,2021-05-04 00:44:37.811932
ORCA__Size-640x640_Epoch-28_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,28,0.4599903988053303,0.8082732490712743,2021-05-04 00:44:37.812001
ORCA__Size-640x640_Epoch-29_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,29,0.28944090330228545,0.8778704169606499,2021-05-04 01:55:12.464542
ORCA__Size-640x640_Epoch-29_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,29,0.5149077047463707,0.7805156238332595,2021-05-04 01:55:12.464572
ORCA__Size-640x640_Epoch-30_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,30,0.28970097244882054,0.878506026564603,2021-05-04 03:11:23.829401
ORCA__Size-640x640_Epoch-30_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,30,0.5100598059730379,0.7848713375989395,2021-05-04 03:11:23.829429
ORCA__Size-640x640_Epoch-31_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,31,0.29609195167715685,0.8760778582267221,2021-05-04 04:21:31.425080
ORCA__Size-640x640_Epoch-31_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,31,0.4782740789156278,0.7943627842181894,2021-05-04 04:21:31.425125
ORCA__Size-640x640_Epoch-32_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,32,0.3053042151648819,0.8704707438637789,2021-05-04 05:31:39.996097
ORCA__Size-640x640_Epoch-32_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,32,0.4419856661009372,0.809902165821946,2021-05-04 05:31:39.996126
ORCA__Size-640x640_Epoch-33_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,33,0.2819173346598339,0.8817738575912549,2021-05-04 06:41:23.906210
ORCA__Size-640x640_Epoch-33_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,33,0.5219934447050949,0.7820056341939218,2021-05-04 06:41:23.906240
ORCA__Size-640x640_Epoch-34_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,34,0.2782280643524337,0.8834392025596209,2021-05-04 07:51:00.976036
ORCA__Size-640x640_Epoch-34_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,34,0.5263757686405537,0.7802302680704888,2021-05-04 07:51:00.976099
ORCA__Size-640x640_Epoch-35_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,35,0.27792983259821896,0.8837621216112369,2021-05-04 09:00:35.818505
ORCA__Size-640x640_Epoch-35_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,valid,35,0.5117702718830824,0.7856050633073851,2021-05-04 09:00:35.818576
ORCA__Size-640x640_Epoch-36_Images-3344_Batch-1__one_by_epoch.pth,one_by_epoch,train,36,0.2730725359084735,0.8858676884847384,2021-05-04 10:10:30.162984
